Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
ульский	17	17	11	11	20	60.71	60.71	70.83	70.83	0.21	0.21	0.03	0.00	7.40	inf	0.00	0.00	0.00	0.00
оренский	17	17	11	11	15	60.71	60.71	85.00	85.00	0.29	0.29	0.04	0.00	7.13	341.23	0.00	0.00	0.00	0.00
горсад	441	440	226	225	426	66.12	66.17	77.92	78.01	0.26	0.33	0.04	0.03	6.71	11.39	0.08	0.06	0.15	0.06
вимба	22	22	18	18	25	55.00	55.00	81.48	81.48	0.06	0.06	0.01	0.00	6.65	90.89	0.00	0.00	0.00	0.00
тарбаган	18	18	73	73	112	19.78	19.78	30.00	30.00	0.30	0.39	0.04	0.02	6.63	21.61	0.01	0.00	0.11	0.00
шаварма	27	27	98	98	164	21.60	21.60	36.00	36.00	0.21	0.34	0.03	0.03	6.45	9.78	0.00	0.00	0.00	0.00
кинопалац	160	160	4	4	40	97.56	97.56	99.38	99.38	0.03	0.03	0.00	0.00	6.32	inf	0.00	0.00	0.00	0.00
курмыши	44	44	14	14	18	75.86	75.86	89.80	89.80	0.14	0.14	0.02	0.00	6.27	151.44	0.00	0.00	0.00	0.00
Левбердон	10	10	33	33	44	23.26	23.26	47.62	47.62	0.04	0.04	0.01	0.00	5.70	15.66	0.00	0.00	0.00	0.00
битловка	19	19	8	8	32	70.37	70.37	82.61	82.61	0.09	0.09	0.02	0.00	5.63	inf	0.00	0.00	0.00	0.00
Долгопа	83	83	211	211	300	28.23	28.23	81.37	81.37	0.11	0.11	0.02	0.02	5.47	5.47	0.00	0.00	0.00	0.00
хабза	25	25	19	19	114	56.82	56.82	83.33	83.33	0.03	0.06	0.01	0.00	5.25	37.94	0.00	0.00	0.00	0.00
однёшка	44	44	14	14	39	75.86	75.86	78.57	78.57	0.08	0.11	0.02	0.00	5.08	inf	-0.00	0.00	0.00	0.00
порато	5	5	12	12	21	29.41	29.41	55.56	55.56	0.08	0.08	0.02	0.00	5.06	92.66	0.00	0.00	0.00	0.00
каблуха	16	16	10	10	18	61.54	61.54	72.73	72.73	0.06	0.06	0.01	0.00	4.89	inf	0.00	0.00	0.00	0.00
буузы	9	9	139	139	116	6.08	6.08	8.65	8.65	1.08	1.08	0.22	0.22	4.85	4.85	0.00	0.00	0.00	0.00
жердёла	56	56	25	25	43	69.14	69.14	87.50	87.50	0.12	0.12	0.02	0.00	4.80	134.80	0.00	0.00	0.00	0.00
Севаст	48	48	103	103	196	31.79	31.79	42.86	42.86	0.34	0.34	0.07	0.04	4.77	8.19	0.00	0.00	0.00	0.00
Чебы	115	115	162	161	215	41.52	41.67	60.21	60.53	2.62	2.62	0.55	0.55	4.72	4.72	0.00	0.00	0.00	0.00
чойс	18	18	145	145	196	11.04	11.04	16.98	16.98	0.15	0.15	0.04	0.02	4.34	6.69	0.00	0.00	0.00	0.00
кукса	19	19	403	401	379	4.50	4.52	6.69	6.74	1.07	1.07	0.26	0.05	4.18	21.67	0.00	0.00	0.00	0.00
Кырск	39	39	31	31	67	55.71	55.71	61.90	61.90	0.26	0.26	0.07	0.02	3.94	14.37	0.00	0.00	0.00	0.00
чепыжи	6	6	5	5	2	54.55	54.55	66.67	66.67	0.07	0.07	0.02	0.00	3.84	inf	0.00	0.00	0.00	0.00
недуром	22	22	16	16	36	57.89	57.89	75.86	75.86	0.03	0.03	0.01	0.00	3.83	94.77	0.01	0.00	0.06	0.00
сейгод	14	14	11	11	10	56.00	56.00	60.87	60.87	0.22	0.22	0.06	0.00	3.40	inf	0.00	0.00	0.00	0.00
царан	7	7	23	23	26	23.33	23.33	26.92	26.92	0.09	0.09	0.03	0.03	3.31	3.41	0.00	0.00	0.00	0.00
вехотка	46	46	29	29	48	61.33	61.33	79.31	79.31	0.03	0.04	0.01	0.00	3.30	78.38	0.13	0.00	0.17	0.00
шибаться	14	14	23	23	37	37.84	37.84	56.00	56.00	0.05	0.08	0.01	0.00	3.27	44.81	0.05	0.00	0.50	0.00
позная	86	86	129	127	120	40.00	40.38	50.89	51.50	0.48	0.48	0.15	0.11	3.17	4.45	0.00	0.00	0.00	0.00
дикошарый	27	27	6	6	28	81.82	81.82	87.10	87.10	0.01	0.02	0.00	0.00	3.06	inf	0.21	0.00	0.12	0.00
грядушка	19	19	23	23	21	45.24	45.24	63.33	63.33	0.07	0.07	0.02	0.00	2.85	65.79	0.00	0.00	0.00	0.00
гембель	21	21	44	44	48	32.31	32.31	39.62	39.62	0.09	0.09	0.03	0.01	2.84	10.12	0.00	0.00	0.00	0.00
груздянка	16	16	5	5	11	76.19	76.19	84.21	84.21	0.06	0.07	0.02	0.00	2.80	inf	0.00	0.00	0.00	0.00
копняк	25	23	65	65	74	27.78	26.14	28.09	26.44	0.24	0.23	0.08	0.03	2.80	7.14	0.00	0.00	0.00	0.00
шурушки	28	28	6	6	44	82.35	82.35	87.50	87.50	0.06	0.06	0.02	0.00	2.80	inf	0.00	0.00	0.00	0.00
заодним	78	78	108	108	206	41.94	41.94	64.46	64.46	0.06	0.08	0.02	0.01	2.80	8.07	0.13	0.05	0.22	0.03
КГТ	13	13	15	15	31	46.43	46.43	46.43	46.43	0.09	0.15	0.03	0.00	2.78	174.43	0.11	0.00	0.25	0.00
ерик	33	33	54	54	50	37.93	37.93	46.48	46.48	0.13	0.19	0.05	0.04	2.75	4.43	0.17	0.12	0.44	0.25
кравчучка	158	158	7	7	97	95.76	95.76	98.75	98.75	0.03	0.03	0.01	0.00	2.68	50.50	0.00	0.00	0.00	0.00
Ебург	1016	1016	1176	1173	1497	46.35	46.41	62.79	62.91	1.12	1.12	0.43	0.42	2.63	2.66	0.00	0.00	0.00	0.00
араз	22	22	451	451	349	4.65	4.65	6.06	6.06	0.76	0.76	0.29	0.29	2.62	2.62	0.00	0.00	0.00	0.00
Симф	33	33	192	192	219	14.67	14.67	22.15	22.15	0.24	0.24	0.09	0.09	2.59	2.59	0.00	0.00	0.00	0.00
Орен	188	188	653	652	1197	22.35	22.38	33.51	33.57	1.51	1.51	0.60	0.28	2.52	5.42	0.18	0.12	0.50	0.50
Кёник	5	5	43	43	72	10.42	10.42	21.74	21.74	0.04	0.04	0.02	0.00	2.49	8.74	0.00	0.00	0.00	0.00
наливайка	269	269	115	115	316	70.05	70.05	77.30	77.30	0.16	0.16	0.07	0.07	2.42	2.42	0.17	0.17	0.50	0.50
харып	6	6	19	19	19	24.00	24.00	66.67	66.67	0.12	0.12	0.05	0.00	2.39	69.18	0.00	0.00	0.00	0.00
вилюшка	12	12	18	18	39	40.00	40.00	66.67	66.67	0.06	0.06	0.03	0.00	2.37	46.85	0.11	0.00	0.11	0.00
расколотка	7	7	10	10	4	41.18	41.18	46.67	46.67	0.05	0.05	0.02	0.00	2.35	inf	0.00	0.00	0.00	0.00
перетяг	22	22	41	41	54	34.92	34.92	41.51	41.51	0.05	0.06	0.02	0.00	2.23	28.62	0.09	0.00	0.22	0.00
грибовница	32	32	36	36	69	47.06	47.06	65.31	65.31	0.07	0.11	0.03	0.00	2.19	110.54	0.23	0.00	0.19	0.00
себель	10	10	4	4	11	71.43	71.43	83.33	83.33	0.02	0.03	0.01	0.00	2.17	inf	0.16	0.00	0.22	0.00
таксофирма	20	20	15	15	29	57.14	57.14	64.52	64.52	0.03	0.08	0.01	0.00	2.10	inf	0.20	0.00	0.56	0.00
парма	177	177	1453	1446	2408	10.86	10.91	18.75	18.89	0.90	0.90	0.43	0.43	2.10	2.10	0.00	0.00	0.00	0.00
микрик	126	126	304	300	364	29.30	29.58	36.42	36.84	0.41	0.52	0.20	0.14	2.02	3.69	0.16	0.11	0.47	0.28
домушка	105	105	22	22	132	82.68	82.68	66.67	66.67	0.05	0.08	0.03	0.00	1.97	102.47	0.23	0.00	0.41	0.00
Семск	19	19	23	23	22	45.24	45.24	47.50	47.50	0.14	0.14	0.07	0.04	1.91	3.62	0.00	0.00	0.00	0.00
полоротый	11	11	31	31	50	26.19	26.19	29.73	29.73	0.05	0.14	0.03	0.00	1.82	31.26	0.21	0.00	0.67	0.00
микрушка	29	29	19	19	17	60.42	60.42	70.73	70.73	0.07	0.13	0.04	0.00	1.79	175.84	0.19	0.00	0.50	0.00
пайта	92	92	42	40	108	68.66	69.70	76.03	77.31	0.35	0.35	0.20	0.11	1.75	3.17	0.00	0.00	0.00	0.00
матиться	5	5	17	17	25	22.73	22.73	31.25	31.25	0.04	0.04	0.02	0.00	1.72	56.70	0.00	0.00	0.00	0.00
казёнить	8	8	7	7	14	53.33	53.33	57.14	57.14	0.03	0.03	0.02	0.00	1.72	inf	0.00	0.00	0.00	0.00
ботсадовский	12	12	10	10	6	54.55	54.55	66.67	66.67	0.01	0.03	0.01	0.00	1.70	inf	0.22	0.00	0.50	0.00
Зелик	193	193	517	517	617	27.18	27.18	50.79	50.79	0.26	0.26	0.16	0.05	1.70	4.99	0.00	0.00	0.00	0.00
батониться	157	157	54	53	159	74.41	74.76	78.89	79.29	0.12	0.13	0.07	0.03	1.68	4.64	0.20	0.07	0.19	0.08
Новорос	42	42	54	54	64	43.75	43.75	56.00	56.00	0.18	0.18	0.11	0.11	1.67	1.67	0.00	0.00	0.00	0.00
малосемейка	152	150	140	139	266	52.05	51.90	66.09	66.08	0.05	0.09	0.03	0.02	1.64	4.00	0.26	0.09	0.44	0.25
