Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
Севск	25	25	88	88	121	22.12	22.12	32.89	32.89	4.91	7.45	1.06	0.09	4.65	80.40	0.00	0.00	0.00	0.00
однёшка	33	33	13	13	32	71.74	71.74	75.00	75.00	1.19	1.50	0.27	0.00	4.37	inf	0.00	0.00	0.00	0.00
каблуха	14	14	10	10	17	58.33	58.33	70.00	70.00	1.17	1.17	0.28	0.00	4.17	inf	0.00	0.00	0.00	0.00
оренский	9	9	7	7	12	56.25	56.25	75.00	75.00	3.15	3.15	0.76	0.00	4.15	inf	0.00	0.00	0.00	0.00
шаварма	17	17	78	78	110	17.89	17.89	31.48	31.48	2.66	4.82	0.65	0.09	4.09	52.03	0.04	0.00	0.50	0.00
кинопалац	105	105	4	4	38	96.33	96.33	99.06	99.06	0.34	0.34	0.08	0.00	4.06	inf	0.00	0.00	0.00	0.00
курмыши	30	30	13	13	17	69.77	69.77	85.71	85.71	1.98	1.98	0.49	0.02	4.03	117.86	0.00	0.00	0.00	0.00
битловка	15	15	8	8	29	65.22	65.22	78.95	78.95	1.40	1.40	0.35	0.00	3.93	inf	0.00	0.00	0.00	0.00
недуром	20	20	14	14	34	58.82	58.82	74.07	74.07	0.50	0.47	0.13	0.01	3.93	64.32	0.00	0.00	0.00	0.00
жердёла	39	39	23	23	37	62.90	62.90	82.98	82.98	1.66	1.66	0.44	0.02	3.75	105.28	0.00	0.00	0.00	0.00
чойс	16	16	126	126	158	11.27	11.27	17.58	17.58	2.55	2.55	0.68	0.13	3.73	19.49	0.00	0.00	0.00	0.00
Новорос	28	28	38	38	43	42.42	42.42	59.57	59.57	2.37	2.37	0.68	0.59	3.46	3.99	0.00	0.00	0.00	0.00
Симф	18	18	110	110	118	14.06	14.06	19.57	19.57	2.81	2.81	0.81	0.81	3.45	3.45	0.00	0.00	0.00	0.00
хабза	13	13	10	10	67	56.52	56.52	72.22	72.22	0.38	0.48	0.11	0.01	3.45	46.18	-0.00	0.00	0.00	0.00
заодним	60	60	83	83	166	41.96	41.96	63.83	63.83	0.98	1.46	0.30	0.14	3.31	10.81	0.08	0.01	0.21	0.04
Новочек	23	23	18	18	52	56.10	56.10	67.65	67.65	1.95	1.95	0.59	0.59	3.29	3.29	0.00	0.00	0.00	0.00
сейгод	7	7	9	9	10	43.75	43.75	50.00	50.00	2.48	2.48	0.79	0.00	3.15	inf	0.00	0.00	0.00	0.00
Долгопа	41	41	147	147	169	21.81	21.81	69.49	69.49	1.16	1.16	0.37	0.27	3.14	4.29	0.00	0.00	0.00	0.00
копняк	21	20	55	55	65	27.63	26.67	28.00	27.03	2.98	3.83	1.03	0.55	2.88	6.93	0.00	0.00	0.00	0.00
вилюшка	11	11	16	16	20	40.74	40.74	68.75	68.75	0.99	1.12	0.36	0.02	2.73	48.73	0.00	0.00	0.00	0.00
Кырск	25	25	24	24	44	51.02	51.02	55.56	55.56	3.20	3.20	1.23	0.29	2.59	10.99	0.00	0.00	0.00	0.00
царан	5	5	9	9	14	35.71	35.71	41.67	41.67	1.45	1.45	0.56	0.00	2.58	inf	0.00	0.00	0.00	0.00
Севаст	25	25	67	67	106	27.17	27.17	35.71	35.71	3.90	3.90	1.52	0.54	2.57	7.20	0.00	0.00	0.00	0.00
шибаться	11	11	22	22	37	33.33	33.33	50.00	50.00	0.75	1.29	0.30	0.04	2.48	35.90	0.08	0.00	0.50	0.00
араз	12	12	155	155	210	7.19	7.19	11.21	11.21	7.84	7.84	3.21	3.21	2.45	2.45	0.00	0.00	0.00	0.00
вимба	10	10	11	11	19	47.62	47.62	66.67	66.67	0.50	0.65	0.21	0.01	2.41	51.78	0.01	0.00	0.25	0.00
грибовница	26	26	32	32	47	44.83	44.83	60.47	60.47	1.31	2.12	0.54	0.02	2.40	134.77	0.20	0.00	0.25	0.00
Чебы	35	35	104	103	121	25.18	25.36	38.46	38.89	17.16	17.16	7.26	7.26	2.36	2.36	0.00	0.00	0.00	0.00
пайта	62	62	32	31	90	65.96	66.67	74.70	75.61	4.80	4.80	2.04	0.01	2.35	416.79	0.00	0.00	0.00	0.00
Ебург	474	474	750	747	841	38.73	38.82	55.44	55.63	9.48	9.48	4.03	3.31	2.35	2.87	0.00	0.00	0.00	0.00
КГТ	9	9	11	11	16	45.00	45.00	45.00	45.00	1.11	1.69	0.47	0.00	2.35	inf	0.02	0.00	0.25	0.00
дикошарый	27	27	6	6	25	81.82	81.82	87.10	87.10	0.28	0.48	0.12	0.00	2.32	inf	0.27	0.00	0.12	0.00
груздянка	11	11	5	5	9	68.75	68.75	78.57	78.57	0.98	0.88	0.44	0.00	2.22	inf	0.00	0.00	0.00	0.00
позная	45	45	84	82	83	34.88	35.43	46.88	47.87	4.50	4.86	2.15	0.37	2.09	13.26	0.00	0.00	0.00	0.00
шуфлядка	45	45	32	32	164	58.44	58.44	70.31	70.31	1.33	1.33	0.64	0.03	2.09	40.08	0.00	0.00	0.00	0.00
вехотка	29	29	24	24	42	54.72	54.72	76.32	76.32	0.31	0.47	0.15	0.02	2.06	29.60	0.23	0.00	0.18	0.00
полоротый	9	9	26	26	35	25.71	25.71	29.03	29.03	0.95	2.45	0.47	0.08	2.03	28.99	0.18	0.00	0.67	0.00
гембель	16	16	42	42	40	27.59	27.59	34.04	34.04	1.47	1.47	0.74	0.16	2.00	9.21	0.00	0.00	0.00	0.00
наливайка	205	205	93	93	225	68.79	68.79	76.49	76.49	2.11	2.69	1.06	1.22	1.99	2.20	0.21	0.19	0.50	0.33
домушка	75	75	15	15	80	83.33	83.33	65.12	65.12	0.60	0.68	0.31	0.02	1.92	44.14	0.19	0.00	0.33	0.00
кравчучка	116	116	7	7	81	94.31	94.31	98.31	98.31	0.38	0.38	0.20	0.01	1.89	36.29	0.00	0.00	0.00	0.00
мамбет	27	26	24	24	64	52.94	52.00	58.70	57.78	2.98	3.69	1.58	0.55	1.88	6.70	0.00	0.00	0.00	0.00
парма	94	94	879	872	1377	9.66	9.73	17.00	17.22	9.80	9.80	5.21	2.45	1.88	4.00	0.00	0.00	0.00	0.00
