Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
пасочка	710	710	144	141	642	83.14	83.43	90.33	90.68	0.09	0.09	0.13	0.05	0.71	1.80	0.33	0.15	0.75	0.19
сотик	458	458	516	505	832	47.02	47.56	57.32	58.12	0.13	0.15	0.19	0.11	0.69	1.39	0.47	0.28	0.60	0.34
хилять	10	10	154	154	196	6.10	6.10	11.36	11.36	0.04	0.16	0.06	0.01	0.68	19.30	0.52	0.00	0.80	0.00
повешать	223	223	201	198	404	52.59	52.97	63.17	63.71	0.11	0.11	0.16	0.03	0.65	3.38	0.52	0.14	0.38	0.10
сотовый	1585	1585	32674	32507	39779	4.63	4.65	7.39	7.45	2.51	2.51	4.26	3.97	0.59	0.63	0.49	0.46	0.75	0.75
тютина	43	43	360	360	843	10.67	10.67	17.41	17.41	0.19	0.19	0.32	0.32	0.58	0.58	0.42	0.42	1.00	1.00
Новосиб	1525	1525	2298	2268	2855	39.89	40.21	55.09	55.70	1.35	1.35	2.42	0.89	0.56	1.51	0.51	0.15	0.58	0.31
водогрей	152	152	81	81	177	65.24	65.24	81.28	81.28	0.03	0.06	0.06	0.01	0.54	8.95	0.49	0.00	0.75	0.00
потеряшка	137	137	986	978	889	12.20	12.29	17.93	18.12	0.08	0.11	0.15	0.09	0.54	1.14	0.54	0.27	0.74	0.51
тям	107	107	128	125	246	45.53	46.12	64.46	65.64	0.04	0.04	0.07	0.01	0.53	3.28	0.55	0.13	0.70	0.14
яйла	338	338	1214	1203	751	21.78	21.93	28.38	28.64	2.42	2.42	4.62	1.33	0.52	1.82	0.48	0.00	1.00	0.00
мобилка	2351	2351	4582	4565	5719	33.91	33.99	50.40	50.58	0.39	0.39	0.79	0.79	0.50	0.50	0.50	0.50	1.00	1.00
Ирк	79	79	224	224	304	26.07	26.07	53.38	53.38	0.02	0.02	0.05	0.02	0.49	1.53	0.51	0.00	1.00	0.00
Кривбасс	437	437	128	128	993	77.35	77.35	95.62	95.62	0.07	0.07	0.16	0.01	0.46	6.47	0.54	0.00	1.00	0.00
баклажка	828	828	383	380	753	68.37	68.54	48.38	48.58	0.18	0.20	0.40	0.38	0.46	0.52	0.63	0.61	0.54	0.48
курумник	255	255	517	512	353	33.03	33.25	42.43	42.79	0.25	0.28	0.61	0.22	0.42	1.31	0.66	0.25	0.75	0.64
сарайка	176	176	245	238	327	41.81	42.51	58.47	59.86	0.10	0.12	0.25	0.02	0.42	6.09	0.67	0.01	0.24	0.01
политсила	293	293	55	55	264	84.20	84.20	90.43	90.43	0.05	0.05	0.12	0.00	0.41	15.60	0.59	0.00	1.00	0.00
стёрка	110	110	203	202	254	35.14	35.26	50.00	50.23	0.03	0.03	0.09	0.05	0.38	0.64	0.62	0.49	0.88	0.68
селюк	231	231	141	141	207	62.10	62.10	84.93	84.93	0.04	0.04	0.10	0.10	0.38	0.38	0.62	0.62	1.00	1.00
дикорос	71	71	256	249	278	21.71	22.19	30.47	31.42	0.11	0.13	0.31	0.18	0.36	0.75	0.64	0.47	1.00	0.50
брежневка	67	67	128	127	231	34.36	34.54	45.27	45.58	0.03	0.04	0.05	0.12	0.56	0.35	0.60	0.72	0.26	0.33
матный	50	50	1012	1010	1069	4.71	4.72	7.67	7.69	0.08	0.08	0.23	0.23	0.33	0.33	0.67	0.67	1.00	1.00
сродный	20	20	301	301	309	6.23	6.23	8.70	8.70	0.03	0.03	0.08	0.04	0.31	0.79	0.69	0.25	1.00	0.50
улка	92	92	277	276	331	24.93	25.00	33.09	33.21	0.06	0.07	0.16	0.22	0.40	0.30	0.63	0.70	0.91	1.00
занос	2274	2274	3415	3392	4993	39.97	40.13	0.00	0.00	0.24	0.24	0.81	0.81	0.30	0.30	0.70	0.70	1.00	1.00
кубло	269	269	218	216	334	55.24	55.46	70.60	70.98	0.02	0.04	0.08	0.09	0.27	0.48	0.74	0.52	0.94	1.00
обменник	153	153	4023	4004	4548	3.66	3.68	6.52	6.57	0.21	0.21	0.82	0.82	0.25	0.25	0.75	0.75	1.00	1.00
реготать	191	191	28	28	136	87.21	87.21	92.27	92.27	0.02	0.03	0.09	0.00	0.23	13.42	0.79	0.00	0.75	0.00
локер	62	62	296	296	458	17.32	17.32	29.81	29.81	0.02	0.02	0.11	0.11	0.22	0.22	0.78	0.78	1.00	1.00
обменка	212	212	213	212	254	49.88	50.00	72.35	72.60	0.09	0.03	0.45	0.05	0.20	0.66	0.82	0.34	0.81	1.00
сидушка	943	943	1239	1229	1638	43.22	43.42	0.00	0.00	0.10	0.10	0.51	0.45	0.19	0.22	0.81	0.78	1.00	1.00
латка	173	173	721	716	726	19.35	19.46	24.37	24.54	0.07	0.07	0.37	0.28	0.19	0.24	0.81	0.76	1.00	1.00
пятнашки	200	200	1210	1201	1135	14.18	14.28	25.32	25.61	0.08	0.08	0.43	0.22	0.18	0.36	0.82	0.64	1.00	1.00
новостийный	111	111	156	156	180	41.57	41.57	50.92	50.92	0.02	0.02	0.13	0.10	0.14	0.19	0.86	0.81	1.00	1.00
кура	84	84	288	286	382	22.58	22.70	38.71	39.07	0.03	0.03	0.20	0.25	0.16	0.13	0.84	0.87	1.00	1.00
коринка	26	26	126	126	205	17.11	17.11	32.91	32.91	0.01	0.01	0.06	0.01	0.12	1.28	0.88	0.00	1.00	0.00
греча	1254	1252	6174	6093	6833	16.88	17.05	27.43	27.89	0.29	0.46	2.61	1.16	0.11	0.39	0.89	0.61	1.00	1.00
ранешний	35	35	185	184	577	15.91	15.98	19.66	19.77	0.01	0.01	0.11	0.05	0.10	0.21	0.90	0.79	1.00	1.00
