Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
220766619	NA	605	0	0	1	0	0	1
165882194	Киев	605	0	1	0	0	1	0
105778528	Россия	605	0	0	1	0	0	1
3444882	Якутия	605	0	1	0	0	1	0
62147183	Москва	605	0	1	0	0	1	0
82028369	Россия	605	0	0	1	0	0	2
185178212	Казахстан	605	0	1	0	0	1	0
135609996	Россия	605	0	0	1	0	0	1
84653069	Казахстан	605	0	1	0	0	1	0
2988372	Россия	605	0	0	1	0	0	1
178631946	NA	605	0	0	1	0	0	1
145655332	Россия	605	0	0	1	0	0	1
171385591	Краснодарский край	605	0	1	0	0	1	0
168619224	Астраханская область	605	0	1	0	0	1	0
223070044	NA	605	0	0	1	0	0	2
8411611	Франция	605	0	0	1	0	0	1
182037063	NA	605	0	0	1	0	0	1
1050360	Тверская область	605	1	0	0	1	0	0
210900479	Коми	605	0	1	0	0	1	0
234787411	NA	605	0	0	1	0	0	1
150672404	Киев	605	1	0	0	1	0	0
156394658	Витебская область	604	1	0	0	2	0	0
232141668	NA	604	0	0	1	0	0	1
10428733	Россия	604	0	0	1	0	0	1
217405178	NA	604	0	0	4	0	0	5
178512969	Тульская область	604	0	1	0	0	1	0
159922081	Омская область	604	0	1	0	0	1	0
79659655	Самарская область	604	0	1	0	0	1	0
184139939	Хакасия	604	0	1	0	0	1	0
197229639	Великобритания	604	0	0	1	0	0	1
58059087	Новосибирская область	604	0	1	0	0	1	0
2842267	NA	604	0	0	1	0	0	1
83859463	Днепропетровская область	604	1	0	0	1	0	0
34244891	Россия	604	0	0	2	0	0	2
17454843	NA	604	0	0	1	0	0	1
143878339	NA	604	0	0	1	0	0	1
186900467	NA	604	0	0	1	0	0	1
214182608	Франция	604	0	0	2	0	0	2
126156792	Башкирия	604	0	1	0	0	1	0
2047743	Москва	604	0	1	0	0	1	0
21872996	Россия	604	0	0	1	0	0	8
66698096	NA	604	0	0	1	0	0	1
183258804	Россия	604	0	0	1	0	0	1
160587539	NA	604	0	0	1	0	0	1
95910782	Москва	604	0	1	0	0	1	0
182785981	NA	604	0	0	1	0	0	3
187289213	Иркутская область	603	0	1	0	0	1	0
33412626	Одесская область	603	1	0	0	1	0	0
183960146	Красноярский край	603	1	0	0	1	0	0
90536881	Омская область	603	1	0	0	1	0	0
19363653	NA	603	0	0	1	0	0	1
886873	Татарстан	603	0	1	0	0	1	0
14448458	Россия	603	0	0	1	0	0	1
94552176	NA	603	0	0	1	0	0	1
82286983	NA	603	0	0	1	0	0	1
152855883	NA	603	0	0	1	0	0	1
139956985	Украина	603	0	1	0	0	1	0
59772583	Липецкая область	603	0	1	0	0	1	0
165900297	Бурятия	603	0	1	0	0	1	0
142211611	Свердловская область	603	0	1	0	0	1	0
380026	Россия	603	0	0	1	0	0	2
212483283	Красноярский край	603	0	1	0	0	1	0
110586131	Костанайская область	603	1	0	0	1	0	0
2751694	Томская область	603	0	1	0	0	1	0
26281724	Алтайский край	603	0	1	0	0	1	0
247884646	Москва	603	0	1	0	0	1	0
154933873	Днепропетровская область	603	1	0	0	1	0	0
162707833	NA	603	0	0	1	0	0	1
36714792	Челябинская область	602	0	1	0	0	1	0
226432976	Москва	602	1	0	0	1	0	0
