Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
улка	24	24	78	78	53	23.53	23.53	26.09	26.09	0.03	0.02	0.05	0.04	0.60	0.53	0.48	0.47	0.83	1.00
гирло	66	66	8	8	35	89.19	89.19	94.29	94.29	0.01	0.01	0.01	0.00	0.51	inf	0.56	0.00	0.44	0.00
Кривбасс	100	100	8	8	34	92.59	92.59	93.46	93.46	0.01	0.01	0.03	0.00	0.48	inf	0.52	0.00	1.00	0.00
шихан	24	24	55	55	59	30.38	30.38	35.29	35.29	0.03	0.03	0.07	0.00	0.47	7.00	0.53	0.00	1.00	0.00
греча	43	43	1966	1966	1903	2.14	2.14	2.55	2.55	0.21	0.23	0.46	0.35	0.46	0.67	0.54	0.39	0.96	0.69
селюк	410	410	46	46	205	89.91	89.91	92.34	92.34	0.05	0.05	0.12	0.01	0.40	8.21	0.60	0.00	1.00	0.00
поварёшка	52	52	199	199	259	20.72	20.72	23.96	23.96	0.03	0.03	0.07	0.05	0.38	0.52	0.63	0.48	0.93	1.00
наливайка	71	71	25	25	44	73.96	73.96	76.34	76.34	0.02	0.01	0.05	0.00	0.37	19.62	0.65	0.00	0.67	0.00
занос	198	198	1112	1112	1154	15.11	15.11	0.00	0.00	0.10	0.10	0.31	0.22	0.33	0.47	0.67	0.53	1.00	1.00
кубло	102	102	62	62	132	62.20	62.20	69.86	69.86	0.02	0.01	0.06	0.01	0.28	1.15	0.74	0.00	0.86	0.00
сотик	55	55	111	111	117	33.13	33.13	35.71	35.71	0.02	0.02	0.05	0.11	0.43	0.22	0.61	0.78	0.80	1.00
матный	53	53	827	827	808	6.02	6.02	6.85	6.85	0.06	0.06	0.28	0.20	0.21	0.29	0.79	0.71	1.00	1.00
мобилка	361	361	548	548	744	39.71	39.71	45.70	45.70	0.04	0.04	0.22	0.21	0.20	0.21	0.80	0.79	1.00	1.00
обменка	94	94	82	82	92	53.41	53.41	60.26	60.26	0.01	0.01	0.06	0.02	0.18	0.59	0.82	0.41	1.00	1.00
стёрка	64	64	106	106	154	37.65	37.65	42.67	42.67	0.01	0.01	0.08	0.02	0.18	0.66	0.82	0.46	1.00	0.75
бусик	90	90	71	71	94	55.90	55.90	66.67	66.67	0.01	0.01	0.05	0.01	0.15	1.17	0.85	0.14	1.00	0.50
кравчучка	25	25	13	13	32	65.79	65.79	73.53	73.53	0.00	0.00	0.02	0.00	0.14	inf	0.86	0.00	1.00	0.00
поребрик	15	15	625	625	430	2.34	2.34	2.70	2.70	0.02	0.02	0.18	0.16	0.12	0.15	0.88	0.85	1.00	1.00
чинарик	20	20	116	116	209	14.71	14.71	1.69	1.69	0.01	0.01	0.10	0.02	0.10	0.43	0.90	0.57	1.00	1.00
сидушка	43	43	159	159	160	21.29	21.29	0.00	0.00	0.02	0.02	0.21	0.04	0.10	0.57	0.90	0.43	1.00	1.00
обменник	22	22	669	669	358	3.18	3.18	3.68	3.68	0.02	0.02	0.34	0.19	0.07	0.12	0.93	0.88	1.00	1.00
новостийный	51	51	58	58	69	46.79	46.79	51.52	51.52	0.01	0.01	0.13	0.01	0.05	1.23	0.95	0.00	1.00	0.00
догонялки	34	34	1171	1170	979	2.82	2.82	3.24	3.25	0.07	0.10	1.50	0.39	0.05	0.25	0.95	0.75	1.00	1.00
ругачка	9	9	56	56	50	13.85	13.85	16.36	16.36	0.00	0.01	0.10	0.11	0.04	0.06	0.96	0.94	1.00	1.00
мобиль	0	0	383	383	271	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.07	0.00	0.00	0.00	0.00	1.00	1.00
ульяновка	3	3	127	127	130	2.31	2.31	2.63	2.63	0.03	0.00	0.05	0.02	0.58	0.00	0.42	0.00	1.00	1.00
рыпа	0	0	269	269	315	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.00	0.00	0.00	0.00	1.00	1.00
кеч	0	0	35	35	49	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.03	0.00	0.00	0.00	0.00	1.00	1.00
калать	0	0	180	180	157	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.21	0.00	0.00	0.00	0.00	1.00	1.00
араз	0	0	48	48	32	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.01	0.00	0.00	0.00	0.00	1.00	1.00
локер	0	0	33	33	37	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ляпки	5	5	43	43	44	10.42	10.42	12.20	12.20	0.02	0.00	0.09	0.00	0.18	0.00	0.82	0.00	1.00	1.00
сморода	1	1	36	36	29	2.70	2.70	2.78	2.78	0.02	0.00	0.05	0.00	0.42	0.00	0.58	0.00	1.00	1.00
берик	1	1	50	50	43	1.96	1.96	2.08	2.08	0.00	0.00	0.09	0.05	0.04	0.00	0.96	0.00	1.00	1.00
гопа	4	4	104	104	71	3.70	3.70	4.26	4.26	0.04	0.00	0.42	0.02	0.10	0.00	0.90	0.00	1.00	1.00
пятнашки	0	0	164	164	154	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.02	0.00	0.00	0.00	0.00	1.00	1.00
красовский	3	3	101	101	80	2.88	2.88	4.00	4.00	0.00	0.00	0.11	0.02	0.01	0.00	0.99	0.00	1.00	1.00
хилять	3	3	31	31	32	8.82	8.82	10.71	10.71	0.03	0.00	0.03	0.00	1.08	0.00	0.37	0.00	0.67	1.00
пиджачка	0	0	63	63	26	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.02	0.00	0.00	0.00	0.00	1.00	1.00
муль	0	0	341	341	298	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.08	0.00	0.00	0.00	0.00	1.00	1.00
дикорос	5	5	47	47	28	9.62	9.62	10.87	10.87	0.01	0.00	0.06	0.00	0.22	0.00	0.78	0.00	1.00	1.00
дирик	0	0	51	51	51	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.00	0.00	0.00	0.00	1.00	1.00
