Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
Новорос	10	10	9	9	5	52.63	52.63	55.56	55.56	0.03	0.03	0.02	0.00	1.81	inf	0.00	0.00	0.00	0.00
повешать	68	68	61	61	79	52.71	52.71	55.74	55.74	0.04	0.04	0.02	0.00	1.74	19.82	0.19	0.00	0.24	0.00
рясный	58	58	5	5	24	92.06	92.06	93.55	93.55	0.03	0.01	0.02	0.00	1.71	inf	0.23	0.00	0.67	0.00
парма	34	34	206	206	155	14.17	14.17	15.96	15.96	0.13	0.13	0.08	0.05	1.68	2.41	0.02	0.00	0.25	0.00
мамбетка	25	25	3	3	13	89.29	89.29	92.59	92.59	0.06	0.06	0.04	0.00	1.54	inf	0.26	0.00	0.25	0.00
улучшенка	13	13	4	4	9	76.47	76.47	76.47	76.47	0.02	0.03	0.01	0.00	1.53	inf	0.19	0.00	0.33	0.00
КГТ	21	21	14	14	37	60.00	60.00	63.64	63.64	0.09	0.14	0.06	0.00	1.51	inf	0.17	0.00	0.50	0.00
Новосиб	229	229	194	194	216	54.14	54.14	63.61	63.61	0.23	0.23	0.15	0.10	1.48	2.26	0.19	0.14	0.39	0.22
бздых	7	7	8	8	6	46.67	46.67	70.00	70.00	0.02	0.02	0.02	0.00	1.48	9.46	0.00	0.00	0.00	0.00
Новочек	11	11	7	7	11	61.11	61.11	73.33	73.33	0.05	0.05	0.03	0.00	1.47	inf	0.00	0.00	0.00	0.00
повешаться	37	37	32	32	75	53.62	53.62	59.68	59.68	0.02	0.02	0.02	0.00	1.41	12.40	0.25	0.00	0.34	0.00
позная	11	11	22	22	24	33.33	33.33	35.48	35.48	0.04	0.07	0.03	0.00	1.37	84.72	0.12	0.00	0.44	0.00
Симфер	88	88	9	9	25	90.72	90.72	96.70	96.70	0.01	0.01	0.01	0.00	1.31	3.52	0.00	0.00	0.00	0.00
насаться	8	8	5	5	11	61.54	61.54	66.67	66.67	0.02	0.04	0.01	0.00	1.26	inf	0.34	0.00	0.67	0.00
копняк	9	9	56	56	44	13.85	13.85	13.85	13.85	0.03	0.06	0.03	0.03	1.26	1.71	0.11	0.00	0.44	0.00
баклажка	69	69	26	26	66	72.63	72.63	69.41	69.41	0.03	0.03	0.02	0.00	1.22	inf	0.28	0.00	0.49	0.00
пасочка	761	761	111	111	297	87.27	87.27	90.17	90.17	0.08	0.09	0.06	0.03	1.21	3.54	0.17	0.00	0.38	0.00
полторушка	5	5	1	1	6	83.33	83.33	100.00	100.00	0.00	0.00	0.00	0.00	1.20	inf	0.00	0.00	0.00	0.00
Ебург	51	51	55	55	40	48.11	48.11	57.95	57.95	0.04	0.05	0.04	0.01	1.15	8.93	0.27	-0.00	0.38	0.00
Ахтари	5	5	4	4	6	55.56	55.56	55.56	55.56	0.02	0.02	0.02	0.00	1.09	inf	0.00	0.00	0.00	0.00
малосемейка	114	114	112	112	94	50.44	50.44	52.29	52.29	0.04	0.06	0.03	0.05	1.41	1.08	0.34	0.37	0.33	0.45
