Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
реготать	49	49	5	5	24	90.74	90.74	94.23	94.23	0.01	0.01	0.01	0.00	0.44	inf	0.56	0.00	1.00	0.00
сотовый	928	928	7821	7821	7027	10.61	10.61	12.04	12.04	0.88	0.88	2.04	2.04	0.43	0.43	0.57	0.57	1.00	1.00
поварёшка	62	62	213	213	283	22.55	22.55	26.50	26.50	0.04	0.05	0.10	0.07	0.42	0.73	0.60	0.34	0.92	0.75
наливайка	76	76	25	25	48	75.25	75.25	77.55	77.55	0.02	0.02	0.06	0.00	0.38	18.28	0.63	0.00	0.78	0.00
шихан	31	31	72	72	98	30.10	30.10	37.80	37.80	0.06	0.06	0.16	0.02	0.36	3.36	0.64	0.00	1.00	0.00
кубло	121	121	114	114	245	51.49	51.49	60.50	60.50	0.05	0.03	0.16	0.06	0.32	0.43	0.72	0.61	0.89	0.67
яйла	24	24	31	31	43	43.64	43.64	51.06	51.06	0.12	0.12	0.38	0.02	0.32	7.66	0.68	0.00	1.00	0.00
сотик	57	57	116	116	120	32.95	32.95	35.62	35.62	0.03	0.04	0.07	0.12	0.41	0.32	0.62	0.69	0.80	0.81
селюк	425	425	50	50	206	89.47	89.47	91.79	91.79	0.06	0.06	0.21	0.01	0.31	9.31	0.69	0.00	1.00	0.00
занос	260	260	1665	1665	1570	13.51	13.51	0.00	0.00	0.15	0.15	0.65	0.65	0.23	0.23	0.77	0.77	1.00	1.00
Челяба	106	106	114	114	166	48.18	48.18	54.92	54.92	0.15	0.23	0.85	1.11	0.18	0.21	0.83	0.82	0.78	0.50
стёрка	68	68	113	113	159	37.57	37.57	42.24	42.24	0.02	0.02	0.12	0.03	0.18	0.66	0.82	0.46	1.00	0.81
мобилка	396	396	588	588	791	40.24	40.24	46.48	46.48	0.06	0.06	0.37	0.37	0.16	0.16	0.84	0.84	1.00	1.00
матный	56	56	967	967	948	5.47	5.47	6.29	6.29	0.10	0.10	0.64	0.60	0.15	0.16	0.85	0.84	1.00	1.00
бусик	102	102	84	84	104	54.84	54.84	66.23	66.23	0.01	0.02	0.08	0.04	0.15	0.40	0.85	0.60	1.00	1.00
поребрик	16	16	773	773	520	2.03	2.03	2.29	2.29	0.03	0.03	0.25	0.24	0.13	0.14	0.87	0.86	1.00	1.00
обменник	26	26	814	814	445	3.10	3.10	3.61	3.61	0.04	0.04	0.35	0.24	0.12	0.18	0.88	0.82	1.00	1.00
сидушка	46	46	172	172	171	21.10	21.10	0.00	0.00	0.03	0.03	0.25	0.09	0.11	0.30	0.89	0.70	1.00	1.00
обменка	102	102	96	96	103	51.52	51.52	57.95	57.95	0.02	0.01	0.15	0.06	0.10	0.26	0.90	0.74	1.00	1.00
чинарик	20	20	117	117	214	14.60	14.60	1.68	1.68	0.01	0.01	0.15	0.03	0.09	0.36	0.91	0.64	1.00	1.00
кравчучка	41	41	50	50	114	45.05	45.05	56.94	56.94	0.01	0.01	0.10	0.08	0.06	0.08	0.94	0.92	1.00	1.00
ругачка	9	9	56	56	50	13.85	13.85	16.36	16.36	0.01	0.01	0.12	0.12	0.05	0.07	0.95	0.93	1.00	1.00
догонялки	39	39	1251	1250	1045	3.02	3.03	3.49	3.49	0.10	0.15	2.38	0.58	0.04	0.26	0.96	0.74	1.00	1.00
новостийный	95	95	123	123	155	43.58	43.58	47.26	47.26	0.01	0.01	0.56	0.10	0.03	0.14	0.97	0.86	1.00	1.00
дирик	0	0	64	64	53	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.00	0.00	0.00	0.00	1.00	1.00
рыпа	0	0	318	318	328	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.58	0.00	0.00	0.00	0.00	1.00	1.00
берик	1	1	75	75	52	1.32	1.32	1.39	1.39	0.00	0.00	0.13	0.11	0.03	0.00	0.97	0.00	1.00	1.00
тютина	1	1	59	59	40	1.67	1.67	1.92	1.92	0.01	0.00	0.97	0.01	0.01	0.00	0.99	0.00	1.00	1.00
красовский	3	3	108	108	92	2.70	2.70	3.75	3.75	0.00	0.00	0.19	0.03	0.01	0.00	0.99	0.00	1.00	1.00
копач	1	1	83	83	73	1.19	1.19	1.39	1.39	0.00	0.00	0.08	0.01	0.06	0.00	0.94	0.00	1.00	1.00
кура	3	3	48	48	52	5.88	5.88	7.32	7.32	0.02	0.00	0.08	0.01	0.20	0.00	0.80	0.00	1.00	1.00
локер	0	0	37	37	48	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	1.00	1.00
долбан	0	0	136	136	116	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.04	0.00	0.00	0.00	0.00	1.00	1.00
голить	4	4	82	82	31	4.65	4.65	4.82	4.82	0.02	0.00	0.07	0.11	0.29	0.00	0.71	0.00	1.00	1.00
калать	0	0	257	257	208	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.45	0.00	0.00	0.00	0.00	1.00	1.00
хабарь	1	1	69	69	36	1.43	1.43	1.47	1.47	0.00	0.00	0.12	0.02	0.04	0.00	0.96	0.00	1.00	1.00
пиджачка	0	0	64	64	27	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.00	0.00	0.00	0.00	1.00	1.00
ульяновка	3	3	138	138	134	2.13	2.13	2.42	2.42	0.03	0.00	0.08	0.03	0.42	0.00	0.58	0.00	1.00	1.00
кукса	4	4	97	97	57	3.96	3.96	4.76	4.76	0.32	0.00	0.24	0.07	1.34	0.00	0.00	0.00	0.00	1.00
муль	0	0	477	477	399	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.23	0.00	0.00	0.00	0.00	1.00	1.00
гопа	4	4	123	123	82	3.15	3.15	3.60	3.60	0.04	0.00	0.68	0.03	0.06	0.00	0.94	0.00	1.00	1.00
крутка	0	0	278	278	165	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.14	0.00	0.00	0.00	0.00	1.00	1.00
ляпки	5	5	43	43	47	10.42	10.42	12.20	12.20	0.02	0.00	0.13	0.00	0.14	0.00	0.86	0.00	1.00	1.00
хилять	5	5	38	38	43	11.63	11.63	13.51	13.51	0.08	0.00	0.05	0.00	1.65	0.00	0.29	0.00	0.67	1.00
схилять	3	3	31	31	42	8.82	8.82	8.82	8.82	0.01	0.00	0.16	0.16	0.07	0.00	0.93	0.00	1.00	1.00
араз	0	0	55	55	35	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.02	0.00	0.00	0.00	0.00	1.00	1.00
кукси	1	1	46	46	43	2.13	2.13	2.38	2.38	0.11	0.00	0.11	0.11	1.00	0.00	0.00	0.00	1.00	1.00
сморода	1	1	47	47	42	2.08	2.08	2.13	2.13	0.03	0.00	0.09	0.09	0.34	0.00	0.66	0.00	1.00	1.00
кеч	0	0	41	41	53	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.04	0.00	0.00	0.00	0.00	1.00	1.00
латка	0	0	264	264	172	0.00	0.00	0.00	0.00	0.00	0.00	0.58	0.16	0.00	0.00	0.00	0.00	1.00	1.00
жамка	6	6	318	318	335	1.85	1.85	2.08	2.08	0.04	0.00	0.80	0.07	0.05	0.00	0.95	0.00	1.00	1.00
мобиль	0	0	461	461	329	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.16	0.00	0.00	0.00	0.00	1.00	1.00
пятнашки	0	0	168	168	168	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.04	0.00	0.00	0.00	0.00	1.00	1.00
чухать	0	0	99	99	89	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.03	0.00	0.00	0.00	0.00	1.00	1.00
бадлон	0	0	17	17	57	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дикорос	6	6	88	88	51	6.38	6.38	6.90	6.90	0.02	0.00	0.16	0.21	0.14	0.00	0.86	0.00	1.00	1.00
