Лемма						
дняра	0.00	0.00	1.00	0.00	0.00	1.00
догонялки	0.25	0.75	1.00	0.26	0.74	1.00
догоняшки	0.00	0.00	1.00	inf	0.00	0.00
долбан	0.00	0.00	1.00	0.00	0.00	1.00
Долгопа	4.59	0.00	0.00	5.60	0.00	0.00
домашники	0.00	0.00	1.00	0.00	0.00	1.00
домушка	0.00	0.00	1.00	0.00	0.00	1.00
дрягаться	0.00	0.00	1.00	0.00	0.00	1.00
дудлить	inf	0.00	0.00	inf	0.00	0.00
дюндель	inf	0.00	0.00	inf	0.00	0.00
Ебург	8.93	-0.00	0.00	4.32	0.01	0.11
единка	0.00	0.00	1.00	0.00	0.00	1.00
ераз	0.00	0.00	1.00	0.00	0.00	1.00
ерик	0.00	0.00	1.00	0.00	0.00	1.00
жамка	0.00	0.00	1.00	0.00	0.00	1.00
жердёла	0.00	0.00	1.00	0.00	0.00	1.00
жердель	0.00	0.00	1.00	0.00	0.00	1.00
жлыга	0.00	0.00	1.00	0.00	0.00	1.00
жулькать	0.00	0.00	1.00	0.00	0.00	1.00
забутовка	0.00	0.00	1.00	0.00	0.00	1.00
заколенники	0.00	0.00	1.00	0.00	0.00	1.00
залеп	0.00	0.00	1.00	0.00	0.00	1.00
замного	0.00	0.00	1.00	0.00	0.00	1.00
занос	0.47	0.53	1.00	0.23	0.77	1.00
заоднем	0.00	0.00	1.00	0.00	0.00	1.00
заодним	0.00	0.00	1.00	0.00	0.00	1.00
захилять	0.00	0.00	1.00	0.00	0.00	1.00
Зелик	8.44	0.00	0.00	8.55	0.00	0.00
Златка	0.00	0.00	1.00	0.00	0.00	1.00
Ижик	0.00	0.00	1.00	0.00	0.00	1.00
изнахратить	0.00	0.00	1.00	0.00	0.00	1.00
Ирк	inf	0.00	0.00	inf	0.00	0.00
италмас	inf	0.00	0.00	inf	0.00	0.00
йошкинский	0.00	0.00	1.00	0.00	0.00	1.00
каблуха	0.00	0.00	1.00	0.00	0.00	1.00
казёнить	0.00	0.00	1.00	0.00	0.00	1.00
калать	0.00	0.00	1.00	0.00	0.00	1.00
калега	0.00	0.00	1.00	0.00	0.00	1.00
капшук	0.00	0.00	1.00	0.00	0.00	1.00
каракат	0.00	0.00	1.00	0.00	0.00	1.00
каралька	0.00	0.00	1.00	0.00	0.00	1.00
карпалить	0.00	0.00	1.00	0.00	0.00	1.00
кастрюлить	0.00	0.00	1.00	0.00	0.00	1.00
квач	0.00	0.00	1.00	0.00	0.00	1.00
КГТ	inf	0.00	0.00	inf	0.00	0.00
Кёниг	14.92	0.00	0.00	13.11	0.00	0.00
Кёник	inf	0.00	0.00	inf	0.00	0.00
кеч	0.00	0.00	1.00	0.00	0.00	1.00
кинопалац	inf	0.00	0.00	0.03	0.97	1.00
Кишин	0.00	0.00	1.00	0.00	0.00	1.00
козный	0.00	0.00	1.00	0.00	0.00	1.00
копаль	0.00	0.00	1.00	0.00	0.00	1.00
копач	0.00	0.00	1.00	0.00	0.00	1.00
копняк	1.71	0.00	0.00	2.81	0.00	0.00
коринка	0.00	0.00	1.00	0.00	0.00	1.00
котельцовый	0.00	0.00	1.00	0.00	0.00	1.00
кравчучка	inf	0.00	0.00	0.08	0.92	1.00
кралька	0.00	0.00	1.00	0.00	0.00	1.00
Крас	0.00	0.00	1.00	0.00	0.00	1.00
красноголовик	0.00	0.00	1.00	0.00	0.00	1.00
красовский	0.00	0.00	1.00	0.00	0.00	1.00
Кривбасс	inf	0.00	0.00	5.91	0.00	0.00
крутка	0.00	0.00	1.00	0.00	0.00	1.00
кублиться	0.00	0.00	1.00	0.00	0.00	1.00
кубло	1.15	0.00	0.00	0.43	0.61	0.67
кугут	inf	0.00	0.00	inf	0.00	0.00
кугутня	0.00	0.00	1.00	0.00	0.00	1.00
кугутский	0.00	0.00	1.00	0.00	0.00	1.00
кукса	0.00	0.00	1.00	0.00	0.00	1.00
кукси	0.00	0.00	1.00	0.00	0.00	1.00
култук	inf	0.00	0.00	inf	0.00	0.00
кульбик	0.00	0.00	1.00	0.00	0.00	1.00
кунять	0.00	0.00	1.00	0.00	0.00	1.00
купорка	0.00	0.00	1.00	0.00	0.00	1.00
кура	0.00	0.00	1.00	0.00	0.00	1.00
курмыш	0.00	0.00	1.00	0.00	0.00	1.00
курмыши	0.00	0.00	1.00	0.00	0.00	1.00
курумник	0.00	0.00	1.00	0.00	0.00	1.00
кутарки	0.00	0.00	1.00	0.00	0.00	1.00
кучмовоз	0.00	0.00	1.00	0.00	0.00	1.00
кушери	0.00	0.00	1.00	0.00	0.00	1.00
Кырск	0.00	0.00	1.00	0.00	0.00	1.00
ладки	0.00	0.00	1.00	0.00	0.00	1.00
ламбина	0.00	0.00	1.00	0.00	0.00	1.00
ламбушка	0.00	0.00	1.00	0.00	0.00	1.00
лапшак	0.00	0.00	1.00	0.00	0.00	1.00
латка	0.00	0.00	1.00	0.00	0.00	1.00
Лебердон	inf	0.00	0.00	inf	0.00	0.00
Левбердон	inf	0.00	0.00	inf	0.00	0.00
ленпроект	0.00	0.00	1.00	0.00	0.00	1.00
лобань	0.00	0.00	1.00	0.00	0.00	1.00
ловитки	0.00	0.00	1.00	0.00	0.00	1.00
локер	0.00	0.00	1.00	0.00	0.00	1.00
люксованный	0.00	0.00	1.00	0.00	0.00	1.00
люксовка	0.00	0.00	1.00	0.00	0.00	1.00
лямой	0.00	0.00	1.00	0.00	0.00	1.00
ляпки	0.00	0.00	1.00	0.00	0.00	1.00
максать	0.00	0.00	1.00	0.00	0.00	1.00
маланец	inf	0.00	0.00	inf	0.00	0.00
малосемейка	1.08	0.37	0.45	0.96	0.41	0.45
мамбет	451.17	0.00	0.00	565.56	0.00	0.00
