Loc	Authors count	Words count	Positive occs	Negative occs	Not positive occs	Positive lemmas	Negative lemmas	Not positive lemmas
Украина	484014	382131622	320	473	159	67	162	27
Москва	197332	173558527	403	4074	0	9	265	0
?Сибирский ФО	118789	81544387	7	253	238	5	112	95
Урал	97750	73814905	4	501	266	1	122	68
Киев	70436	64709965	1061	1376	0	53	112	0
Западная Сибирь	73517	51993027	6	271	143	4	113	55
Казахстан	70023	47064013	290	538	14	22	90	4
Донецкая область	34113	27646942	281	585	0	47	62	0
Башкирия	36529	27079756	65	756	0	6	91	0
Свердловская область	33231	26156973	215	714	0	37	92	0
Харьковская область	29022	24923046	307	533	0	36	63	0
Татарстан	32664	24302143	64	638	0	9	84	0
Самарская область	31546	24056927	58	675	0	8	92	0
Одесская область	28307	23869421	261	508	0	36	66	0
Белоруссия	36082	22636988	54	124	1	12	75	1
Челябинская область	31781	22393511	214	688	0	26	75	0
Днепропетровская область	25609	21625197	261	462	0	30	59	0
Краснодарский край	29218	21352620	120	605	0	25	100	0
Крым	23236	20267364	374	399	0	30	55	0
Пермский край	24770	19035835	174	503	0	23	62	0
Новосибирская область	26446	18938251	299	535	0	30	81	0
Московская область	26464	17711655	179	347	0	5	83	0
Ростовская область	23112	17101761	83	474	0	17	80	0
Запорожская область	17213	15349462	149	267	0	28	60	0
Дальний Восток	18742	15051142	0	112	43	0	59	28
Красноярский край	20959	14371509	121	430	0	32	61	0
Ханты-Мансийский АО	11976	11392796	3	299	0	2	61	0
Омская область	16123	10736286	90	283	0	16	58	0
Вологодская область	12492	10448092	43	305	0	13	59	0
Волгоградская область	14556	10445589	27	266	0	8	53	0
Кемеровская область	12976	9492364	48	239	0	13	47	0
Тюменская область	14126	9439024	103	322	0	25	58	0
Архангельская область	9861	9336630	102	171	0	19	39	0
Луганская область	11940	9011267	66	171	0	20	39	0
Ярославская область	10620	8295894	36	239	0	10	47	0
Львовская область	12570	8282501	141	208	0	25	42	0
Иркутская область	12466	8245790	112	259	0	21	51	0
Оренбургская область	12558	8160063	75	252	0	6	51	0
Удмуртия	9050	8066973	41	198	0	11	53	0
Воронежская область	12205	7498347	25	235	0	6	53	0
Саратовская область	11529	7367625	7	260	0	1	54	0
Алтайский край	8727	7202485	42	201	0	7	50	0
Коми	7633	7155577	25	153	0	2	35	0
Николаевская область	9773	7070095	64	148	0	21	35	0
Калининградская область	8909	7056653	78	185	0	8	52	0
Полтавская область	8516	6621470	58	114	0	18	32	0
Кировская область	8512	6610764	25	203	0	5	38	0
Якутия	7875	6544574	52	196	0	13	40	0
Мурманская область	8808	6168439	16	185	0	7	46	0
Ульяновская область	8065	6162647	18	208	0	4	39	0
Тульская область	7961	6158705	3	166	0	2	45	0
Ставропольский край	8276	6038254	15	200	0	5	41	0
Хабаровский край	6745	5703982	25	142	0	14	37	0
Приморский край	6749	5595981	21	144	0	10	37	0
Чувашия	7515	5235813	35	126	0	5	35	0
Брестская область	7150	5193888	47	88	0	8	33	0
Херсонская область	6386	4957350	44	78	0	13	34	0
Тверская область	7096	4760394	8	144	0	3	37	0
Рязанская область	5791	4482522	5	102	0	2	37	0
Курская область	5623	4402893	2	97	0	2	24	0
Гомельская область	7258	4362410	67	64	0	5	27	0
Липецкая область	6432	4344054	5	129	0	2	31	0
Астраханская область	4562	4092159	3	72	0	2	21	0
Сумская область	5283	4090043	25	58	0	8	19	0
Пензенская область	5693	4035073	1	133	0	1	34	0
Белгородская область	5749	3938962	4	112	0	3	26	0
Томская область	6166	3602061	39	109	0	12	40	0
Калужская область	5265	3544968	2	89	0	2	32	0
Черниговская область	4378	3536325	40	65	0	18	23	0
Владимирская область	5597	3403962	8	121	0	4	30	0
Бурятия	5513	3270957	88	67	0	18	26	0
Житомирская область	4255	3215291	27	60	0	12	25	0
Ленинградская область	4664	3203495	5	116	0	2	30	0
Ивановская область	5270	3197785	7	77	0	2	31	0
Марий Эл	3454	3183092	8	53	0	3	24	0
Гродненская область	4947	3130278	52	36	0	7	18	0
Волынская область	3728	3106460	28	58	0	13	26	0
Курганская область	4162	3083033	13	101	0	5	28	0
Псковская область	3902	3070700	14	71	0	4	28	0
Северная Осетия	2382	3019343	0	71	0	0	19	0
Карагандинская область	4220	2993932	49	57	0	8	21	0
Черновицкая область	5143	2837516	31	83	0	14	23	0
Тамбовская область	4330	2810375	2	61	0	2	25	0
Смоленская область	4316	2730942	1	83	0	1	24	0
Молдавия	3089	2635658	4	51	0	3	20	0
Брянская область	4826	2625559	5	64	0	2	24	0
Мордовия	3538	2398547	2	64	0	1	22	0
Дагестан	2865	2278124	1	45	0	1	16	0
Минская область	3883	2168808	26	33	0	3	18	0
Хакасия	3079	2021580	8	64	0	4	23	0
Забайкальский край	3563	2019443	8	54	0	6	21	0
Павлодарская область	2783	1854723	51	37	0	7	19	0
Закарпатская область	2426	1761897	14	31	0	9	16	0
Костромская область	2858	1709177	18	43	0	2	17	0
Киевская область	2399	1685948	20	25	0	6	14	0
Нижегородская область	2905	1635090	3	67	0	2	22	0
Азербайджан	1842	1614818	3	44	0	2	12	0
Костанайская область	2716	1394985	22	25	0	7	12	0
Грузия	622	1392386	0	12	0	0	7	0
Восточно-Казахстанская область	1980	1379485	28	42	0	3	20	0
Чечня	1285	1363643	3	22	0	1	6	0
Ямало-Ненецкий АО	2442	1337431	1	44	0	1	21	0
Карелия	1903	1254604	18	38	0	4	12	0
Сахалинская область	1854	1234877	11	40	0	5	18	0
Кабардино-Балкария	1382	1174317	0	26	0	0	11	0
Амурская область	1579	1123419	0	19	0	0	11	0
Киргизия	820	1019511	12	22	0	1	6	0
Армения	1293	937749	0	9	0	0	3	0
?Петропавловская область	1505	930502	0	33	0	0	18	0
Камчатский край	1297	925489	3	43	0	3	17	0
Тува	1578	862672	4	36	0	3	15	0
Узбекистан	896	827819	1	14	0	1	7	0
Калмыкия	1172	784352	3	28	0	1	10	0
Таймыр	1170	766133	0	20	0	0	13	0
Адыгея	829	571364	0	11	0	0	9	0
Петербург	768	532545	6	32	0	2	10	0
Республика Алтай	882	515698	3	14	0	3	9	0
Литва	452	502794	0	16	0	0	7	0
Новгородская область	806	480248	4	12	0	3	6	0
Орловская область	327	418972	0	6	0	0	4	0
Ингушетия	467	402544	2	7	0	2	4	0
Магаданская область	433	364605	0	15	0	0	6	0
Карачаево-Черкесия	550	348258	0	12	0	0	6	0
Латвия	306	344510	0	4	0	0	3	0
Еврейская АО	272	195859	1	4	0	1	2	0
Ненецкий АО	237	146220	0	8	0	0	6	0
Чукотский АО	85	102789	0	1	0	0	1	0
Алма-Ата	42	24504	0	1	0	0	1	0
Туркмения	48	22568	0	0	0	0	0	0
Эстония	48	22568	0	0	0	0	0	0
Ивано-Франковск	48	22568	0	0	0	0	0	0
Западно-Казахстанская область	48	22568	0	0	0	0	0	0
Абхазия	48	22568	0	0	0	0	0	0
NA	1168432	548667180	0	0	16905	0	0	378
Россия	409574	299628263	0	0	9486	0	0	337
Минск	23816	16711306	0	0	452	0	0	78
Астана	9343	7445559	0	0	274	0	0	55
Винницкая область	8646	5660919	57	104	0	17	28	0
Хмельницкая область	5392	4420710	47	58	0	13	22	0
Витебская область	7128	4365918	57	72	0	7	29	0
Германия	4990	4119053	0	0	165	0	0	53
США	4748	3868389	0	0	111	0	0	47
Кировоградская область	3921	3504500	14	40	0	8	19	0
Могилевская область	5716	3415686	37	55	0	6	22	0
Черкасская область	4446	3361564	25	74	0	11	22	0
Ровненская область	3745	2557689	21	45	0	11	19	0
Ивано-Франковская область	3340	2250142	27	56	0	10	19	0
Великобритания	2688	2124192	0	0	69	0	0	37
Тернопольская область	3147	2084285	36	36	0	14	14	0
Израиль	2187	2051293	0	0	57	0	0	23
Китай	696	1936475	0	0	26	0	0	10
Испания	1825	1561089	0	0	38	0	0	21
?	1137	1286093	0	0	21	0	0	14
Франция	1335	1084460	0	0	34	0	0	23
Италия	1156	1018577	0	0	26	0	0	14
Ямайка	360	923771	0	0	18	0	0	9
Канада	955	874855	0	0	43	0	0	20
Япония	1327	849797	0	0	31	0	0	15
Чехия	1189	813319	0	0	23	0	0	17
Южная Корея	1291	809322	0	0	25	0	0	14
Финляндия	691	766495	0	0	17	0	0	10
Таиланд	497	611089	0	0	19	0	0	10
Польша	771	502640	0	0	19	0	0	14
Нидерланды	503	451096	0	0	9	0	0	7
Австралия	546	413283	0	0	9	0	0	8
Курганская оласть	709	411901	0	0	26	0	0	10
Объединенные Арабские Эмираты	483	406745	0	0	13	0	0	4
Турция	377	391503	0	0	8	0	0	5
?Татарстан	703	386469	0	0	13	0	0	10
Ирландия	261	348959	0	0	9	0	0	7
Швеция	377	315925	0	0	5	0	0	5
Швейцария	305	259059	0	0	7	0	0	5
Египет	187	253446	0	0	3	0	0	1
Австрия	272	249608	0	0	6	0	0	5
Португалия	197	238039	0	0	13	0	0	7
Норвегия	323	231838	0	0	8	0	0	7
?Луганская область	445	230369	0	0	15	0	0	6
Болгария	312	215755	0	0	11	0	0	7
Кипр	171	121098	0	0	7	0	0	6
Гондурас	73	110575	0	0	4	0	0	3
Бельгия	162	107738	0	0	10	0	0	5
?Московская область	225	106490	0	0	6	0	0	4
Зимбабве	78	94354	0	0	3	0	0	3
Исландия	102	93389	0	0	5	0	0	4
Новая Зеландия	110	87031	0	0	3	0	0	3
Дания	93	83141	0	0	2	0	0	2
Монако	92	79428	0	0	1	0	0	1
Индонезия	85	76029	0	0	4	0	0	3
Индия	98	67221	0	0	2	0	0	2
Мадагаскар	95	54124	0	0	3	0	0	3
Непал	41	50692	0	0	5	0	0	5
Сингапур	82	48493	0	0	4	0	0	3
Люксембур	45	31329	0	0	1	0	0	1
Венесуэла	26	27991	0	0	2	0	0	2
Колумбия	46	27739	0	0	1	0	0	1
Черногория	50	27577	0	0	1	0	0	1
ЮАР	24	25262	0	0	1	0	0	1
Корея	27	21665	0	0	1	0	0	1
Афганистан	38	21059	0	0	3	0	0	3
Албания	23	15104	0	0	1	0	0	1
Вьетнам	20	13275	0	0	1	0	0	1
Буркина-Фасо	14	11312	0	0	2	0	0	1
Бахрейн	13	9117	0	0	1	0	0	1
Катар	14	7115	0	0	12	0	0	1
Коста-Рика	9	3711	0	0	2	0	0	1
