Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
селюк	354	354	37	37	133	90.54	90.54	92.67	92.67	0.14	0.14	0.43	0.02	0.33	9.21	0.67	0.00	1.00	0.00
Кривбасс	60	60	5	5	24	92.31	92.31	93.75	93.75	0.02	0.02	0.09	0.00	0.27	inf	0.73	0.00	1.00	0.00
шихан	14	14	41	41	38	25.45	25.45	29.17	29.17	0.07	0.07	0.26	0.01	0.27	9.43	0.73	0.00	1.00	0.00
обменка	59	59	46	46	51	56.19	56.19	63.44	63.44	0.02	0.02	0.13	0.02	0.17	1.11	0.83	0.00	1.00	0.00
стёрка	44	44	67	67	72	39.64	39.64	44.44	44.44	0.04	0.04	0.26	0.03	0.17	1.29	0.83	0.32	1.00	0.33
занос	123	123	751	751	613	14.07	14.07	0.00	0.00	0.21	0.21	1.32	0.62	0.16	0.34	0.84	0.66	1.00	1.00
бусик	74	74	54	54	68	57.81	57.81	68.52	68.52	0.02	0.03	0.12	0.03	0.16	0.80	0.84	0.20	1.00	1.00
мобилка	258	258	397	397	427	39.39	39.39	45.26	45.26	0.10	0.10	0.70	0.36	0.15	0.29	0.85	0.71	1.00	1.00
сотик	36	36	86	86	77	29.51	29.51	32.14	32.14	0.06	0.06	0.16	0.45	0.35	0.14	0.67	0.86	0.82	1.00
матный	30	30	590	590	415	4.84	4.84	5.51	5.51	0.10	0.14	0.91	0.51	0.11	0.27	0.89	0.73	1.00	1.00
поребрик	10	10	518	518	304	1.89	1.89	2.16	2.16	0.06	0.06	0.55	0.48	0.11	0.13	0.89	0.87	1.00	1.00
чинарик	12	12	61	61	69	16.44	16.44	3.17	3.17	0.03	0.02	0.33	0.06	0.10	0.27	0.90	0.73	1.00	1.00
кравчучка	20	20	13	13	29	60.61	60.61	68.97	68.97	0.01	0.01	0.09	0.00	0.09	inf	0.91	0.00	1.00	0.00
обменник	14	14	533	533	244	2.56	2.56	2.95	2.95	0.05	0.05	0.61	0.43	0.09	0.13	0.91	0.87	1.00	1.00
сидушка	23	23	104	104	92	18.11	18.11	0.00	0.00	0.04	0.04	0.57	0.10	0.07	0.40	0.93	0.60	1.00	1.00
новостийный	49	49	58	58	63	45.79	45.79	50.52	50.52	0.02	0.02	0.43	0.02	0.05	1.15	0.95	0.00	1.00	0.00
догонялки	27	27	953	952	715	2.76	2.76	3.16	3.17	0.20	0.27	4.44	1.34	0.04	0.20	0.96	0.80	1.00	1.00
муль	0	0	278	278	233	0.00	0.00	0.00	0.00	0.00	0.00	0.76	0.10	0.00	0.00	0.00	0.00	1.00	1.00
кура	2	2	37	37	28	5.13	5.13	6.67	6.67	0.03	0.00	0.35	0.02	0.09	0.00	0.91	0.00	1.00	1.00
мобиль	0	0	256	256	152	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.16	0.00	0.00	0.00	0.00	1.00	1.00
кеч	0	0	27	27	32	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.10	0.00	0.00	0.00	0.00	1.00	1.00
долбан	0	0	93	93	59	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.07	0.00	0.00	0.00	0.00	1.00	1.00
латка	0	0	168	168	112	0.00	0.00	0.00	0.00	0.00	0.00	2.20	0.09	0.00	0.00	0.00	0.00	1.00	1.00
пятнашки	0	0	121	121	100	0.00	0.00	0.00	0.00	0.00	0.00	1.10	0.05	0.00	0.00	0.00	0.00	1.00	1.00
схилять	2	2	18	18	18	10.00	10.00	10.00	10.00	0.02	0.00	0.15	0.15	0.13	0.00	0.87	0.00	1.00	1.00
кукси	0	0	23	23	19	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	0.00	1.00	1.00
бадлон	0	0	14	14	45	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.01	0.00	0.00	0.00	0.00	1.00	1.00
улка	12	12	52	52	27	18.75	18.75	21.82	21.82	0.07	0.00	0.13	0.15	0.50	0.00	0.56	0.00	0.84	1.00
пиджачка	0	0	50	50	15	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.01	0.00	0.00	0.00	0.00	1.00	1.00
хабарь	1	1	49	49	19	2.00	2.00	2.04	2.04	0.01	0.00	0.28	0.03	0.04	0.00	0.96	0.00	1.00	1.00
дирик	0	0	23	23	31	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.01	0.00	0.00	0.00	0.00	1.00	1.00
копач	1	1	57	57	34	1.72	1.72	2.08	2.08	0.01	0.00	0.21	0.02	0.06	0.00	0.94	0.00	1.00	1.00
крутка	0	0	226	226	106	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.34	0.00	0.00	0.00	0.00	1.00	1.00
