Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
77026	Россия	1239	0	0	1	0	0	1
230433477	Новгородская область	1239	0	1	0	0	1	0
173443289	NA	1238	0	0	1	0	0	1
239918737	NA	1238	0	0	1	0	0	1
1307764	NA	1238	0	0	1	0	0	1
221200593	Кипр	1238	0	0	1	0	0	1
238602860	Гродненская область	1238	1	0	0	1	0	0
173060097	NA	1238	0	0	1	0	0	1
128070405	Днепропетровская область	1238	1	0	0	1	0	0
137568148	NA	1238	0	0	1	0	0	1
94333566	Россия	1237	0	0	1	0	0	1
135379902	Россия	1237	0	0	1	0	0	1
197239274	NA	1237	0	0	1	0	0	1
102019791	Москва	1237	0	1	0	0	1	0
120442659	Сингапур	1237	0	0	1	0	0	2
2378765	Вологодская область	1237	0	1	0	0	1	0
196970360	Донецкая область	1236	0	1	0	0	1	0
25590330	Киев	1236	0	1	0	0	1	0
182238960	Россия	1236	0	0	1	0	0	1
212952512	Татарстан	1236	1	0	0	1	0	0
92873638	Бурятия	1236	1	0	0	1	0	0
200261995	Киев	1236	1	0	0	1	0	0
244653034	Крым	1236	1	0	0	1	0	0
34239608	NA	1236	0	0	1	0	0	2
193392300	Тува	1236	0	1	0	0	1	0
5331063	Москва	1236	0	1	0	0	1	0
21309379	Смоленская область	1236	0	1	0	0	1	0
207845263	NA	1235	0	0	1	0	0	1
15270695	Запорожская область	1235	1	0	0	1	0	0
4944727	Гомельская область	1235	0	1	0	0	2	0
167593837	Москва	1235	0	1	0	0	1	0
116310686	Кемеровская область	1235	0	1	0	0	1	0
249977831	NA	1235	0	0	1	0	0	1
53458230	Кемеровская область	1235	0	1	0	0	1	0
44640291	NA	1235	0	0	1	0	0	1
243546562	Россия	1235	0	0	1	0	0	1
161003910	NA	1235	0	0	1	0	0	1
63347763	Днепропетровская область	1235	0	1	0	0	1	0
164420191	Россия	1235	0	0	1	0	0	2
65208488	Ярославская область	1235	0	1	0	0	1	0
89242654	Ставропольский край	1235	1	0	0	1	0	0
241402039	Дагестан	1234	0	1	0	0	1	0
180366767	Россия	1234	0	0	1	0	0	1
198940659	Россия	1234	0	0	1	0	0	1
109149578	Киев	1234	0	1	0	0	1	0
14382347	NA	1234	0	0	1	0	0	1
100234428	Москва	1234	0	1	0	0	1	0
84427405	Харьковская область	1234	1	0	0	1	0	0
231814440	Россия	1234	0	0	1	0	0	1
226300833	NA	1234	0	0	1	0	0	1
34275340	Украина	1234	1	0	0	1	0	0
8998325	Волгоградская область	1234	0	1	0	0	2	0
244514191	Чечня	1234	0	1	0	0	2	0
148886154	Москва	1234	0	1	0	0	2	0
229457202	Украина	1234	0	1	0	0	1	0
211522170	Ярославская область	1233	0	1	0	0	1	0
228498222	Винницкая область	1233	0	1	0	0	1	0
244927237	NA	1233	0	0	1	0	0	1
196184517	NA	1233	0	0	1	0	0	1
202036365	Россия	1233	0	0	1	0	0	1
141909612	Россия	1233	0	0	1	0	0	1
193364962	Днепропетровская область	1232	0	1	0	0	1	0
5735495	Украина	1232	0	1	0	0	1	0
33414140	Запорожская область	1232	0	1	0	0	1	0
175045972	Москва	1232	0	1	0	0	1	0
89408103	Россия	1232	0	0	1	0	0	1
178258660	NA	1232	0	0	1	0	0	3
228840833	Львовская область	1232	0	1	0	0	1	0
247200310	Самарская область	1232	0	1	0	0	1	0
122265031	Львовская область	1231	0	1	0	0	1	0
180084918	Киев	1231	0	1	0	0	1	0
206029083	Киев	1231	0	1	0	0	1	0
136788530	Украина	1231	0	1	0	0	1	0
165254201	Россия	1231	0	0	1	0	0	1
139949838	Россия	1231	0	0	2	0	0	2
2978359	Самарская область	1231	0	1	0	0	1	0
58590384	Киев	1231	1	0	0	1	0	0
127746576	NA	1231	0	0	1	0	0	2
149161258	Красноярский край	1231	0	1	0	0	1	0
139352291	Россия	1230	0	0	1	0	0	1
201626739	Гродненская область	1230	0	1	0	0	1	0
12198947	Россия	1230	0	0	1	0	0	1
174399339	Волгоградская область	1230	1	0	0	1	0	0
1823407	NA	1230	0	0	1	0	0	1
71854453	NA	1230	0	0	1	0	0	1
155545033	NA	1230	0	0	1	0	0	1
223850385	Киев	1230	0	1	0	0	1	0
233624009	Россия	1229	0	0	1	0	0	1
229009924	Россия	1229	0	0	1	0	0	1
241387614	Россия	1229	0	0	1	0	0	1
194127914	NA	1229	0	0	1	0	0	1
161423351	Сахалинская область	1229	0	1	0	0	1	0
