Loc	Authors count	Words count	Positive occs	Negative occs	Not positive occs	Positive lemmas	Negative lemmas	Not positive lemmas
Еврейская АО	68	154018	1	3	0	1	1	0
Ненецкий АО	63	106066	0	6	0	0	4	0
Чукотский АО	31	90141	0	1	0	0	1	0
Алма-Ата	16	17209	0	1	0	0	1	0
Туркмения	18	16844	0	0	0	0	0	0
Абхазия	18	16844	0	0	0	0	0	0
Ивано-Франковск	18	16844	0	0	0	0	0	0
Эстония	18	16844	0	0	0	0	0	0
Западно-Казахстанская область	18	16844	0	0	0	0	0	0
NA	199820	347092372	0	0	10113	0	0	332
Россия	118394	232786259	0	0	7225	0	0	300
Минск	6061	12698619	0	0	324	0	0	59
Астана	2602	5886857	0	0	206	0	0	44
Винницкая область	2540	4233953	48	83	0	14	23	0
Хмельницкая область	1526	3515213	32	48	0	11	17	0
Германия	1710	3351421	0	0	135	0	0	46
Витебская область	1817	3145862	49	53	0	6	24	0
США	1406	3098798	0	0	92	0	0	41
Кировоградская область	1179	2869369	9	32	0	7	17	0
Черкасская область	1383	2653129	17	56	0	8	15	0
Могилевская область	1477	2445781	32	40	0	6	18	0
Ровненская область	1035	1932849	18	33	0	11	18	0
Китай	231	1828554	0	0	20	0	0	9
Израиль	758	1718374	0	0	49	0	0	21
Великобритания	918	1716468	0	0	53	0	0	28
Ивано-Франковская область	873	1675777	15	47	0	9	18	0
Тернопольская область	829	1544576	23	30	0	12	14	0
Испания	581	1273088	0	0	23	0	0	15
?	340	1105554	0	0	20	0	0	13
Франция	442	871734	0	0	29	0	0	20
Ямайка	119	870424	0	0	16	0	0	8
Италия	385	834937	0	0	22	0	0	13
Канада	312	720732	0	0	36	0	0	17
Финляндия	239	659902	0	0	13	0	0	8
Япония	417	631102	0	0	22	0	0	12
Чехия	349	616049	0	0	15	0	0	11
Южная Корея	436	604013	0	0	20	0	0	11
Таиланд	184	541514	0	0	14	0	0	8
Польша	232	382027	0	0	18	0	0	13
Нидерланды	156	370906	0	0	5	0	0	5
Турция	121	331048	0	0	7	0	0	4
Объединенные Арабские Эмираты	148	328907	0	0	4	0	0	3
Австралия	179	328629	0	0	7	0	0	6
Ирландия	92	308423	0	0	9	0	0	7
Курганская оласть	195	292055	0	0	21	0	0	6
?Татарстан	180	268337	0	0	9	0	0	9
Швеция	128	256572	0	0	5	0	0	5
Египет	89	230063	0	0	3	0	0	1
Швейцария	108	211677	0	0	7	0	0	5
Португалия	72	209891	0	0	10	0	0	6
Австрия	91	208497	0	0	5	0	0	4
Норвегия	116	184655	0	0	6	0	0	5
Болгария	103	167772	0	0	6	0	0	4
?Луганская область	117	152438	0	0	11	0	0	4
Гондурас	31	99446	0	0	3	0	0	2
Кипр	65	96976	0	0	6	0	0	5
Бельгия	56	83970	0	0	8	0	0	3
Зимбабве	32	83592	0	0	3	0	0	3
Исландия	33	77335	0	0	3	0	0	3
Дания	34	69197	0	0	2	0	0	2
?Московская область	57	68809	0	0	5	0	0	3
Новая Зеландия	33	67670	0	0	2	0	0	2
Монако	36	65392	0	0	1	0	0	1
Индонезия	38	63860	0	0	2	0	0	2
Индия	39	52767	0	0	2	0	0	2
Непал	20	45646	0	0	4	0	0	4
Мадагаскар	23	37039	0	0	2	0	0	2
Сингапур	27	35246	0	0	2	0	0	1
Люксембур	18	24979	0	0	1	0	0	1
Венесуэла	12	24627	0	0	2	0	0	2
ЮАР	13	22423	0	0	1	0	0	1
Колумбия	16	20519	0	0	1	0	0	1
Корея	9	17144	0	0	1	0	0	1
Афганистан	13	15618	0	0	2	0	0	2
Албания	7	11996	0	0	1	0	0	1
Вьетнам	6	10090	0	0	1	0	0	1
Буркина-Фасо	6	9369	0	0	2	0	0	1
Бахрейн	5	7385	0	0	1	0	0	1
Катар	6	5752	0	0	12	0	0	1
Коста-Рика	3	2258	0	0	2	0	0	1
