Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
подклад	221	221	236	236	171	48.36	48.36	52.49	52.49	0.22	0.28	0.24	0.16	0.95	1.73	0.32	0.14	0.52	0.26
мамбетский	26	26	1	1	13	96.30	96.30	96.30	96.30	0.08	0.11	0.09	0.00	0.91	inf	0.45	0.00	0.50	0.00
наливайка	53	53	17	17	29	75.71	75.71	77.94	77.94	0.07	0.05	0.08	0.00	0.91	17.04	0.30	0.00	0.44	0.00
Симфер	67	67	6	6	14	91.78	91.78	95.71	95.71	0.03	0.03	0.03	0.00	0.89	inf	0.11	0.00	1.00	0.00
пасочка	435	435	80	80	144	84.47	84.47	87.35	87.35	0.15	0.18	0.18	0.04	0.80	4.16	0.26	0.00	0.69	0.00
сродный	22	22	161	161	109	12.02	12.02	13.58	13.58	0.16	0.17	0.20	0.15	0.79	1.12	0.37	0.00	0.69	0.00
Новочек	6	6	5	5	5	54.55	54.55	66.67	66.67	0.09	0.09	0.12	0.00	0.78	inf	0.22	0.00	1.00	0.00
ботсад	116	116	60	60	50	65.91	65.91	61.29	61.29	0.10	0.14	0.13	0.12	0.76	1.16	0.46	0.37	0.76	0.44
реготать	33	33	2	2	12	94.29	94.29	97.06	97.06	0.01	0.01	0.02	0.00	0.75	inf	0.43	0.00	0.50	0.00
брежневка	18	18	12	12	16	60.00	60.00	64.29	64.29	0.05	0.05	0.07	0.00	0.75	inf	0.51	0.00	0.41	0.00
гирло	42	42	7	7	21	85.71	85.71	93.33	93.33	0.01	0.02	0.02	0.00	0.73	inf	0.36	0.00	0.50	0.00
потеряшка	65	65	238	238	174	21.45	21.45	25.00	25.00	0.16	0.17	0.20	0.26	0.81	0.67	0.37	0.45	0.66	0.76
сталинка	93	93	58	58	110	61.59	61.59	73.23	73.23	0.06	0.05	0.09	0.06	0.64	0.94	0.53	0.32	0.40	0.56
гембель	6	6	17	17	24	26.09	26.09	35.29	35.29	0.07	0.07	0.11	0.01	0.60	6.43	0.40	0.00	1.00	0.00
сотовый	492	492	4200	4200	3182	10.49	10.49	12.06	12.06	1.59	1.59	2.87	2.01	0.56	0.79	0.51	0.33	0.81	0.75
политсила	117	117	28	28	41	80.69	80.69	89.31	89.31	0.05	0.05	0.09	0.02	0.53	1.96	0.47	0.00	1.00	0.00
Челяба	43	43	49	49	58	46.74	46.74	54.43	54.43	0.24	0.24	0.47	0.01	0.52	20.08	0.57	0.00	0.75	0.00
греча	36	36	1546	1546	1340	2.28	2.28	2.73	2.73	0.63	0.96	1.30	0.94	0.48	1.02	0.54	0.16	0.88	0.50
пайта	18	18	26	26	28	40.91	40.91	41.86	41.86	0.10	0.10	0.21	0.00	0.47	inf	0.55	0.00	0.50	0.00
малосемейка	75	75	84	84	46	47.17	47.17	48.08	48.08	0.10	0.12	0.09	0.26	1.12	0.46	0.40	0.63	0.39	0.75
Новоросс	16	16	94	94	42	14.55	14.55	17.78	17.78	0.20	0.20	0.43	0.15	0.45	1.32	0.55	0.00	1.00	0.00
Стерлик	5	5	7	7	3	41.67	41.67	50.00	50.00	0.05	0.05	0.11	0.00	0.41	inf	0.59	0.00	1.00	0.00
выпадывать	9	9	11	11	10	45.00	45.00	50.00	50.00	0.06	0.05	0.15	0.00	0.41	inf	0.60	0.00	0.89	0.00
дудлить	5	5	3	3	7	62.50	62.50	100.00	100.00	0.00	0.00	0.01	0.00	0.39	inf	0.61	0.00	1.00	0.00
поварёшка	41	41	140	140	157	22.65	22.65	25.95	25.95	0.08	0.08	0.20	0.17	0.39	0.48	0.64	0.55	0.88	0.89
кубло	75	75	42	42	59	64.10	64.10	71.43	71.43	0.06	0.03	0.17	0.02	0.38	1.25	0.67	0.00	0.81	0.00
тям	17	17	12	12	8	58.62	58.62	73.91	73.91	0.04	0.00	0.04	0.01	1.09	0.35	0.33	0.65	0.47	1.00
яйла	11	11	22	22	31	33.33	33.33	39.29	39.29	0.15	0.15	0.43	0.02	0.35	6.73	0.65	0.00	1.00	0.00
селюк	354	354	37	37	133	90.54	90.54	92.67	92.67	0.14	0.14	0.43	0.02	0.33	9.21	0.67	0.00	1.00	0.00
Кривбасс	60	60	5	5	24	92.31	92.31	93.75	93.75	0.02	0.02	0.09	0.00	0.27	inf	0.73	0.00	1.00	0.00
шихан	14	14	41	41	38	25.45	25.45	29.17	29.17	0.07	0.07	0.26	0.01	0.27	9.43	0.73	0.00	1.00	0.00
горпарк	5	5	10	10	4	33.33	33.33	33.33	33.33	0.06	0.06	0.23	0.23	0.27	0.27	0.73	0.73	1.00	1.00
парафия	16	16	4	4	11	80.00	80.00	94.12	94.12	0.01	0.01	0.02	0.00	0.26	inf	0.75	0.00	0.50	0.00
обменка	59	59	46	46	51	56.19	56.19	63.44	63.44	0.02	0.02	0.13	0.02	0.17	1.11	0.83	0.00	1.00	0.00
стёрка	44	44	67	67	72	39.64	39.64	44.44	44.44	0.04	0.04	0.26	0.03	0.17	1.29	0.83	0.32	1.00	0.33
занос	123	123	751	751	613	14.07	14.07	0.00	0.00	0.21	0.21	1.32	0.62	0.16	0.34	0.84	0.66	1.00	1.00
Ирк	9	9	10	10	20	47.37	47.37	50.00	50.00	0.01	0.01	0.07	0.00	0.16	inf	0.84	0.00	1.00	0.00
бусик	74	74	54	54	68	57.81	57.81	68.52	68.52	0.02	0.03	0.12	0.03	0.16	0.80	0.84	0.20	1.00	1.00
мобилка	258	258	397	397	427	39.39	39.39	45.26	45.26	0.10	0.10	0.70	0.36	0.15	0.29	0.85	0.71	1.00	1.00
сотик	36	36	86	86	77	29.51	29.51	32.14	32.14	0.06	0.06	0.16	0.45	0.35	0.14	0.67	0.86	0.82	1.00
кинопалац	7	7	2	2	2	77.78	77.78	87.50	87.50	0.00	0.00	0.02	0.00	0.12	inf	0.88	0.00	1.00	0.00
матный	30	30	590	590	415	4.84	4.84	5.51	5.51	0.10	0.14	0.91	0.51	0.11	0.27	0.89	0.73	1.00	1.00
поребрик	10	10	518	518	304	1.89	1.89	2.16	2.16	0.06	0.06	0.55	0.48	0.11	0.13	0.89	0.87	1.00	1.00
байга	9	9	1	1	4	90.00	90.00	90.00	90.00	0.04	0.04	0.41	0.00	0.10	inf	0.90	0.00	1.00	0.00
чинарик	12	12	61	61	69	16.44	16.44	3.17	3.17	0.03	0.02	0.33	0.06	0.10	0.27	0.90	0.73	1.00	1.00
кравчучка	20	20	13	13	29	60.61	60.61	68.97	68.97	0.01	0.01	0.09	0.00	0.09	inf	0.91	0.00	1.00	0.00
кугут	10	10	5	5	3	66.67	66.67	66.67	66.67	0.00	0.00	0.04	0.00	0.09	inf	0.91	0.00	1.00	0.00
шухлядка	10	10	4	4	4	71.43	71.43	76.92	76.92	0.00	0.00	0.04	0.00	0.09	inf	0.91	0.00	1.00	0.00
обменник	14	14	533	533	244	2.56	2.56	2.95	2.95	0.05	0.05	0.61	0.43	0.09	0.13	0.91	0.87	1.00	1.00
сидушка	23	23	104	104	92	18.11	18.11	0.00	0.00	0.04	0.04	0.57	0.10	0.07	0.40	0.93	0.60	1.00	1.00
новостийный	49	49	58	58	63	45.79	45.79	50.52	50.52	0.02	0.02	0.43	0.02	0.05	1.15	0.95	0.00	1.00	0.00
догонялки	27	27	953	952	715	2.76	2.76	3.16	3.17	0.20	0.27	4.44	1.34	0.04	0.20	0.96	0.80	1.00	1.00
Симфи	6	6	7	7	3	46.15	46.15	54.55	54.55	0.00	0.00	0.07	0.00	0.04	inf	0.96	0.00	1.00	0.00
растрынькать	5	5	3	3	8	62.50	62.50	62.50	62.50	0.00	0.00	0.09	0.00	0.02	inf	0.98	0.00	1.00	0.00
ракушняк	16	16	7	7	10	69.57	69.57	80.00	80.00	0.01	0.01	0.70	0.00	0.01	inf	0.99	0.00	1.00	0.00
шаталить	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
кульбик	1	1	0	0	0	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
ранешный	1	1	1	1	0	50.00	50.00	50.00	50.00	0.00	0.00	0.02	0.00	0.09	0.00	0.91	0.00	1.00	1.00
коринка	0	0	7	7	8	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	1.00	1.00
домушка	2	2	3	3	4	40.00	40.00	0.00	0.00	0.00	0.00	0.03	0.00	0.12	0.00	0.88	0.00	1.00	1.00
кура	2	2	37	37	28	5.13	5.13	6.67	6.67	0.03	0.00	0.35	0.02	0.09	0.00	0.91	0.00	1.00	1.00
кушери	0	0	13	13	2	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.09	0.00	0.00	0.00	0.00	1.00	1.00
хабарь	1	1	49	49	19	2.00	2.00	2.04	2.04	0.01	0.00	0.28	0.03	0.04	0.00	0.96	0.00	1.00	1.00
бодлон	0	0	4	4	8	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ляпки	3	3	24	24	24	11.11	11.11	13.04	13.04	0.03	0.00	0.26	0.00	0.12	0.00	0.88	0.00	1.00	1.00
шобон	0	0	5	5	2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
скобарь	0	0	8	8	15	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	1.00	1.00
растренькать	0	0	2	2	1	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	1.00	1.00
политпроект	2	2	4	4	2	33.33	33.33	33.33	33.33	0.00	0.00	0.04	0.00	0.02	0.00	0.98	0.00	1.00	1.00
